ID,Time,Src Entity,Src Port,Dst Entity,Dst Port,Dst Country,Alert
,,,,,,,
1,7/5/2013 5:37,USA.3,52869,USA.12,445,USA,Fragmented IP Packet
,,,,,,,
2,7/5/2013 5:11,USA.113,2787,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
3,7/5/2013 5:30,USA.12,3377,Pellucidar.28,443,Pellucidar,Fragmented IP Packet
,,,,,,,
4,7/5/2013 5:15,USA.110,2986,land of OZ.99,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
5,7/5/2013 5:35,USA.12,3498,Neverland.49,443,Neverland,Fragmented IP Packet
,,,,,,,
6,7/5/2013 5:09,USA.3,2660,Dreamlands.106,80,Dreamlands,WEB-CGI php.cgi access
,,,,,,,
7,7/5/2013 5:38,USA.76,53249,Hogwarts.88,8080,Hogwarts,ET TROJAN Qhosts Trojan Check-in
,,,,,,,
8,7/5/2013 5:21,USA.12,3193,Wonderland.8,80,Wonderland,WEB-CGI php.cgi access
,,,,,,,
9,7/5/2013 5:11,USA.113,2800,Gullivers World.198,443,Gullivers World,Fragmented IP Packet
,,,,,,,
10,7/5/2013 5:12,USA.12,2852,USA.4,21,USA,FTP Satan Scan
,,,,,,,
11,7/5/2013 5:30,USA.12,3386,Dreamlands.106,80,Dreamlands,WEB-CGI php.cgi access
,,,,,,,
12,7/5/2013 5:07,USA.3,52593,Blefuscu.112,443,Blefuscu,Fragmented IP Packet
,,,,,,,
13,7/5/2013 5:04,USA.12,2587,Utopia.211,80,Utopia,Javascript Exploit CVE-2012-09-10a
,,,,,,,
14,7/5/2013 5:38,USA.12,52870,Pern.152,21,Pern,FTP STOR overflow attempt
,,,,,,,
15,7/5/2013 5:11,USA.113,2768,Neverland.49,443,Neverland,Fragmented IP Packet
,,,,,,,
16,7/5/2013 5:12,USA.12,2859,USA.1,21,USA,FTP Satan Scan
,,,,,,,
17,7/5/2013 5:11,USA.113,2737,Middle-Earth.64,80,Middle-Earth,INFO Connection Closed MSG from Port 80
,,,,,,,
18,7/5/2013 5:30,USA.12,3383,Pern.110,443,Pern,Fragmented IP Packet
,,,,,,,
19,7/5/2013 5:25,USA.96,65113,Atlantis.10,8000,Atlantis, ET TROJAN Sality Variant Downloader Activity 
,,,,,,,
20,7/5/2013 5:11,USA.113,2731,Deltora.36,80,Deltora,INFO Connection Closed MSG from Port 80
,,,,,,,
21,7/5/2013 5:21,USA.12,20,USA.3,52644,USA,FTP - Suspicious MGET Command
,,,,,,,
22,7/5/2013 5:30,USA.12,3394,Tatooine.157,443,Tatooine,Fragmented IP Packet
,,,,,,,
23,7/5/2013 5:11,USA.113,2758,Pandora.116,80,Pandora,WEB-CGI webspeed access
,,,,,,,
24,7/5/2013 5:14,USA.12,2948,USA.11,21,USA,FTP Satan Scan
,,,,,,,
25,7/5/2013 5:12,USA.12,2853,USA.5,21,USA,FTP Satan Scan
,,,,,,,
26,7/5/2013 5:15,USA.12,3011,Middle-Earth.63,80,Middle-Earth,INFO Connection Closed MSG from Port 80
,,,,,,,
27,7/5/2013 5:11,USA.113,2786,Pern.162,80,Pern,INFO web bug 0x0 gif attempt
,,,,,,,
28,7/5/2013 5:25,USA.96,65112,Atlantis.10,8000,Atlantis, ET TROJAN Sality - Fake Opera User-Agent 
,,,,,,,
29,7/5/2013 5:30,USA.12,3360,Shangri-La.129,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
30,7/5/2013 5:41,USA.12,3507,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
31,7/5/2013 4:57,USA.12,2485,land of OZ.99,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
32,7/5/2013 5:13,USA.12,2909,USA.10,21,USA,FTP Satan Scan
,,,,,,,
33,7/5/2013 5:11,USA.113,2789,Neverland.49,443,Neverland,Fragmented IP Packet
,,,,,,,
34,7/5/2013 5:26,USA.96,65115,Atlantis.10,8000,Atlantis, ET TROJAN Virus.Win32.Sality.aa Checkin 
,,,,,,,
35,7/5/2013 5:27,USA.12,3294,Middle-Earth.160,80,Middle-Earth,INFO Connection Closed MSG from Port 80
,,,,,,,
36,7/5/2013 5:11,USA.113,2764,Xanadu.42,80,Xanadu,Fragmented IP Packet
,,,,,,,
37,7/5/2013 5:16,USA.12,20,USA.3,52619,USA,FTP - Suspicious MGET Command
,,,,,,,
38,7/5/2013 5:12,USA.12,2889,USA.9,21,USA,FTP Satan Scan
,,,,,,,
39,7/5/2013 5:15,USA.12,3067,Neverland.17,443,Neverland,Fragmented IP Packet
,,,,,,,
40,7/5/2013 5:17,USA.101,3547,USA.12,139,USA,NETBIOS SMB-DS winreg access
,,,,,,,
41,7/5/2013 5:15,USA.12,3037,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
42,7/5/2013 5:30,USA.12,3385,Atlantis.54,443,Atlantis,Fragmented IP Packet
,,,,,,,
43,7/5/2013 5:30,USA.12,3418,Charn.102,80,Charn,WEB-CGI php.cgi access
,,,,,,,
44,7/5/2013 5:30,USA.12,3399,Shangri-La.1,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
45,7/5/2013 5:18,USA.12,3132,Wonderland.5,80,Wonderland,Fragmented IP Packet
,,,,,,,
46,7/5/2013 5:45,USA.12,3565,Far Far Away.14,80,Far Far Away,WEB-PHP authentication_index.php access
,,,,,,,
47,7/5/2013 5:35,USA.12,3484,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
48,7/5/2013 5:15,USA.12,3019,Dinotopia.254,80,Dinotopia,INFO Connection Closed MSG from Port 80
,,,,,,,
49,7/5/2013 5:12,USA.12,2858,USA.3,21,USA,FTP Satan Scan
,,,,,,,
50,7/5/2013 5:15,USA.12,3012,Middle-Earth.62,80,Middle-Earth,INFO Connection Closed MSG from Port 80
,,,,,,,
51,7/5/2013 5:09,USA.3,2666,Naboo.105,80,Naboo,WEB-PHP authentication_index.php access
,,,,,,,
52,7/5/2013 5:40,USA.12,20,Pern.152,52878,Pern,Rar Encrypted File Transfer
,,,,,,,
53,7/5/2013 5:08,USA.12,52575,Utopia.211,1337,Utopia,”IRC Command Control and Scanning Tool Download”
,,,,,,,
54,7/5/2013 5:11,USA.113,2784,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
55,7/5/2013 5:28,USA.76,53248,Hogwarts.88,8080,Hogwarts,ET TROJAN Qhosts Trojan Check-in
,,,,,,,
56,7/5/2013 5:30,USA.12,3375,Shangri-La.1,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
57,7/5/2013 5:30,USA.12,3381,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
58,7/5/2013 5:09,USA.3,2676,Far Far Away.13,80,Far Far Away,WEB-PHP authentication_index.php access
,,,,,,,
59,7/5/2013 5:11,USA.110,2718,Xanadu.45,80,Xanadu,WEB-CGI php.cgi access
,,,,,,,
60,7/5/2013 5:15,USA.12,3047,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
61,7/5/2013 5:30,USA.12,3400,Dreamlands.106,443,Dreamlands,Fragmented IP Packet
,,,,,,,
62,7/5/2013 5:15,USA.12,52614,USA.3,21,USA,FTP CWD Root directory transversal attempt
,,,,,,,
