"No.","Time","Source","Destination","Protocol","Length","Source Port","Dest Port"
"1","2016-05-12 04:03:31.844865","fe80::cd08:1cb2:ac23:6866","ff02::1:2","DHCPv6","157","546","547"
"2","2016-05-12 04:03:32.048667","192.168.1.114","Broadcast","ARP","42","",""
"3","2016-05-12 04:03:33.893024","fe80::cd08:1cb2:ac23:6866","ff02::1:2","DHCPv6","157","546","547"
"4","2016-05-12 04:03:37.886484","fe80::cd08:1cb2:ac23:6866","ff02::1:2","DHCPv6","157","546","547"
"5","2016-05-12 04:03:40.855326","192.168.1.106","Broadcast","ARP","60","",""
"6","2016-05-12 04:03:43.928017","fe80::cd08:1cb2:ac23:6866","ff02::1:3","LLMNR","84","51853","5355"
"7","2016-05-12 04:03:43.929173","192.168.1.114","224.0.0.252","LLMNR","64","51853","5355"
"8","2016-05-12 04:03:43.930401","fe80::cd08:1cb2:ac23:6866","ff02::1:3","LLMNR","84","57155","5355"
"9","2016-05-12 04:03:43.931536","192.168.1.114","224.0.0.252","LLMNR","64","57155","5355"
"10","2016-05-12 04:03:44.337124","fe80::cd08:1cb2:ac23:6866","ff02::1:3","LLMNR","84","51853","5355"
"11","2016-05-12 04:03:44.338234","192.168.1.114","224.0.0.252","LLMNR","64","51853","5355"
"12","2016-05-12 04:03:44.339659","fe80::cd08:1cb2:ac23:6866","ff02::1:3","LLMNR","84","57155","5355"
"13","2016-05-12 04:03:44.340831","192.168.1.114","224.0.0.252","LLMNR","64","57155","5355"
"14","2016-05-12 04:03:45.873820","fe80::cd08:1cb2:ac23:6866","ff02::1:2","DHCPv6","157","546","547"
"15","2016-05-12 04:03:50.585170","192.168.1.102","255.255.255.255","DB-LSP-DISC","276","17500","17500"
"16","2016-05-12 04:03:50.587962","192.168.1.102","192.168.1.255","DB-LSP-DISC","276","17500","17500"
"17","2016-05-12 04:03:52.324112","192.168.1.114","Broadcast","ARP","42","",""
"18","2016-05-12 04:04:01.027775","192.168.1.115","192.168.1.105","TCP","74","33234","22"
"19","2016-05-12 04:04:01.028076","192.168.1.105","192.168.1.115","TCP","74","22","33234"
"20","2016-05-12 04:04:01.029463","192.168.1.115","192.168.1.105","TCP","66","33234","22"
"21","2016-05-12 04:04:01.095224","192.168.1.105","192.168.1.115","SSHv2","105","22","33234"
"22","2016-05-12 04:04:01.233074","192.168.1.115","192.168.1.105","TCP","66","33234","22"
